"Wine";"link";"Link_wine"
"Amaranto Sangiovese 2018";"https://www.vivino.com/IT/en/podere-san-cristoforo-amaranto-sangiovese-2018/w/1291326";"https://www.wine-searcher.com/find/podere+san+cristoforo+amaranto+sangiovese/2018/#t4"
"Gemella Sauvignon Blanc 2020";"https://www.vivino.com/IT/en/bindella-gemella-sauvignon-blanc-2020/w/1174289";"https://www.wine-searcher.com/find/bindella+gemella+sauvignon+blanc/2020/#t4"
"Poggio Argentato Bianco 2020";"https://www.vivino.com/IT/en/fattoria-le-pupille-poggio-argentato-bianco-2020/w/1180252";"https://www.wine-searcher.com/find/fattoria+le+pupille+poggio+argentato+bianco/2020/#t4"
"Villa Antinori Rosso 2018";"https://www.vivino.com/IT/en/antinori-tuscany-villa-antinori-rosso-2018/w/1656";"https://www.wine-searcher.com/find/antinori+tuscany+villa+antinori+rosso/2018/#t4"
"I Domi Chianti Rufina 2018";"https://www.vivino.com/IT/en/i-veroni-i-domi-chianti-rufina-chianti-rufina-2018/w/5548765";"https://www.wine-searcher.com/find/i+veroni+i+domi+chianti+rufina+chianti+rufina/2018/#t4"
"Clamys Vernaccia di San Gimignano 2018";"https://www.vivino.com/IT/en/cesani-clamys-vernaccia-di-san-gimignano-2018/w/4967605";"https://www.wine-searcher.com/find/cesani+clamys+vernaccia+di+san+gimignano/2018/#t4"
"Le Corti Chianti Classico 2018";"https://www.vivino.com/IT/en/principe-corsini-le-corti-chianti-classico-2018/w/1184461";"https://www.wine-searcher.com/find/principe+corsini+le+corti+chianti+classico/2018/#t4"
"Chianti Classico 2011";"https://www.vivino.com/IT/en/lamole-di-lamole-chianti-classico-chianti-classico-2011/w/1759979";"https://www.wine-searcher.com/find/lamole+di+lamole+chianti+classico+chianti+classico/2011/#t4"
"Chianti Rùfina Riserva 2017";"https://www.vivino.com/IT/en/castello-nipozzano-chianti-rufina-riserva-2017/w/20983";"https://www.wine-searcher.com/find/castello+nipozzano+chianti+rufina+riserva/2017/#t4"
"Chianti Rùfina Riserva 2018";"https://www.vivino.com/IT/en/castello-nipozzano-chianti-rufina-riserva-2018/w/20983";"https://www.wine-searcher.com/find/castello+nipozzano+chianti+rufina+riserva/2018/#t4"
"Il Nero di Casanova Terre di Pisa Sangiovese 2018";"https://www.vivino.com/IT/en/la-spinetta-il-nero-di-casanova-terre-di-pisa-sangiovese-tuscany-2018/w/15198";"https://www.wine-searcher.com/find/la+spinetta+il+nero+di+casanova+terre+di+pisa+sangiovese+tuscany/2018/#t4"
"Message in a Bottle Bianco 2020";"https://www.vivino.com/IT/en/tenuta-il-palagio-message-in-a-bottle-bianco-2020/w/4723849";"https://www.wine-searcher.com/find/tenuta+il+palagio+message+in+a+bottle+bianco/2020/#t4"
"When We Dance Chianti 2020";"https://www.vivino.com/IT/en/tenuta-il-palagio-when-we-dance-chianti-2020/w/1256410";"https://www.wine-searcher.com/find/tenuta+il+palagio+when+we+dance+chianti/2020/#t4"
"Rosso di Montalcino 2017";"https://www.vivino.com/IT/en/silvio-nardi-rosso-di-montalcino-2017/w/89990";"https://www.wine-searcher.com/find/silvio+nardi+rosso+di+montalcino/2017/#t4"
"Il Nero di Casanova Terre di Pisa Sangiovese 2017";"https://www.vivino.com/IT/en/la-spinetta-il-nero-di-casanova-terre-di-pisa-sangiovese-tuscany-2017/w/15198";"https://www.wine-searcher.com/find/la+spinetta+il+nero+di+casanova+terre+di+pisa+sangiovese+tuscany/2017/#t4"
"Pa'Ro Bianco 2017";"https://www.vivino.com/IT/en/buccia-nera-pa-ro-bianco-2017/w/6847866";"https://www.wine-searcher.com/find/buccia+nera+pa+ro+bianco/2017/#t4"
"Vergine Delle Rocce Chianti 2016";"https://www.vivino.com/IT/en/cantine-leonardo-da-vinci-vergine-delle-rocce-chianti-2016/w/7233691";"https://www.wine-searcher.com/find/cantine+leonardo+da+vinci+vergine+delle+rocce+chianti/2016/#t4"
"Achelo Rosso 2019";"https://www.vivino.com/IT/en/la-braccesca-achelo-rosso-2019/w/1665";"https://www.wine-searcher.com/find/la+braccesca+achelo+rosso/2019/#t4"
"Altair Bianco 2016";"https://www.vivino.com/IT/en/borgo-la-torre-altair-bianco-2016/w/2300924";"https://www.wine-searcher.com/find/borgo+la+torre+altair+bianco/2016/#t4"
"Vermentino Toscana 2018";"https://www.vivino.com/IT/en/poggio-argentiera-vermentino-toscana-2018/w/3614333";"https://www.wine-searcher.com/find/poggio+argentiera+vermentino+toscana/2018/#t4"
"Ser Gardo Chianti Classico 2019";"https://www.vivino.com/IT/en/bindi-sergardi-ser-gardo-chianti-classico-2019/w/6347042";"https://www.wine-searcher.com/find/bindi+sergardi+ser+gardo+chianti+classico/2019/#t4"
"Ciampoleto Rosso di Montalcino 2018";"https://www.vivino.com/IT/en/tenuta-san-giorgio-ciampoleto-rosso-di-montalcino-2018/w/1200025";"https://www.wine-searcher.com/find/tenuta+san+giorgio+ciampoleto+rosso+di+montalcino/2018/#t4"
"Tenuta Guado al Tasso Scalabrone Bolgheri Rosato 2021";"https://www.vivino.com/IT/en/antinori-tuscany-tenuta-guado-al-tasso-scalabrone-bolgheri-rosato-2021/w/1159157";"https://www.wine-searcher.com/find/antinori+tuscany+tenuta+guado+al+tasso+scalabrone+bolgheri+rosato/2021/#t4"
"Ciarlone Montecucco Rosso 2013";"https://www.vivino.com/IT/en/tenuta-l-impostino-ciarlone-montecucco-rosso-2013/w/2109058";"https://www.wine-searcher.com/find/tenuta+l+impostino+ciarlone+montecucco+rosso/2013/#t4"
"Vermentino 2018";"https://www.vivino.com/IT/en/san-ferdinando-vermentino-2018/w/1751549";"https://www.wine-searcher.com/find/san+ferdinando+vermentino/2018/#t4"
"Rosso di Montalcino 2020";"https://www.vivino.com/IT/en/caparzo-rosso-di-montalcino-2020/w/77496";"https://www.wine-searcher.com/find/caparzo+rosso+di+montalcino/2020/#t4"
"Casa al Piano Bolgheri 2014";"https://www.vivino.com/IT/en/patrimonio-tringali-casanuova-casa-al-piano-bolgheri-2014/w/1328801";"https://www.wine-searcher.com/find/patrimonio+tringali+casanuova+casa+al+piano+bolgheri/2014/#t4"
